0,fixed,"2,3",40,1,"402,343,430,343,431,297,373,296,372,323,400,324"
1,fixed,"2,3",0,2,"373,343,400,343,400,325,373,325"
2,repeatable,3,1,3,"373,384,420,384,420,345,373,344"
3,repeatable,3,2,,"373,417,419,417,420,385,373,385"
4,empty,,,,"372,467,446,467,446,448,420,448,420,418,373,418"
5,fixed,"0,3",,6,"372,490,430,491,430,468,373,468"
6,fixed,"0,3",5,7,"372,527,430,528,430,492,373,491"
7,repeatable,0,6,8,"431,527,447,527,446,482,431,483"
8,repeatable,0,7,,"448,520,466,520,466,448,447,448,447,482"
9,empty,,,,"467,520,498,520,498,439,467,440"
10,repeatable,0,,11,"499,520,518,520,518,456,499,457"
11,repeatable,0,10,12,"519,520,538,520,538,454,519,455"
12,repeatable,0,11,,"539,520,561,520,561,456,539,457"
13,empty,,,,"562,520,582,520,581,437,571,437,571,456,562,457"
14,repeatable,0,,,"582,520,600,520,600,457,582,458"
15,empty,,,,"601,520,620,520,620,442,601,443"
16,empty,,,,"621,520,640,520,639,441,621,442"
17,empty,,,,"640,514,661,514,660,441,640,442"
18,repeatable,0,,19,"661,514,681,514,681,466,661,467"
19,repeatable,0,18,,"682,508,711,508,711,451,699,452,699,466,682,467"
20,empty,,,,"712,516,746,516,746,441,733,442,733,465,712,466"
21,repeatable,1,,22,"747,516,796,516,797,429,767,429,767,441,747,442"
22,repeatable,1,21,23,"750,423,798,424,799,398,750,398"
23,repeatable,1,22,24,"756,396,798,397,799,378,757,378"
24,repeatable,1,23,25,"776,376,798,377,799,366,777,365"
25,repeatable,1,24,26,"756,376,776,376,776,352,799,351,799,299,774,298,774,286,756,287"
26,repeatable,1,25,,"742,376,756,376,755,298,735,299,735,355,742,355"
27,repeatable,2,,28,"718,355,734,355,734,298,718,299"
28,repeatable,2,27,29,"695,356,717,356,717,298,695,299"
29,repeatable,2,28,30,"675,356,694,356,694,298,675,299"
30,repeatable,2,29,,"653,356,675,356,674,298,653,299"
31,empty,,,,"653,376,652,298,631,299,631,375"
32,empty,,,,"616,380,631,379,630,298,607,299,607,363,615,364"
33,repeatable,2,,34,"585,363,607,363,606,298,585,299"
34,repeatable,2,33,,"562,363,585,363,584,298,562,299"
35,empty,,,,"537,384,549,383,550,365,562,364,561,298,537,299"
36,repeatable,2,,,"515,366,536,366,536,298,515,299"
37,empty,,,,"499,377,515,377,514,298,499,299"
38,repeatable,2,,39,"478,361,498,361,498,299,478,300"
39,repeatable,2,38,40,"454,361,477,361,476,300,454,300"
40,repeatable,2,39,0,"432,361,453,361,453,301,432,302"
