0,repeatable,0,,,"691,519,722,519,722,504,691,504"
1,repeatable,1,,2,"677,488,693,473,652,448,634,463"
2,repeatable,1,1,,"634,463,651,448,626,433,608,447"
3,repeatable,2,,4,"532,430,579,431,582,411,535,410"
4,repeatable,2,3,5,"445,430,493,430,495,411,446,411"
5,repeatable,2,4,6,"396,430,444,430,445,411,397,411"
6,fixed,"2,3",5,7,"346,447,367,447,396,430,395,411,346,411"
7,repeatable,3,6,8,"347,505,367,505,366,447,346,447"
8,fixed,"3,4",7,9,"347,542,394,542,394,516,367,515,366,506,347,505"
9,repeatable,4,8,10,"394,542,429,542,429,515,394,515"
10,repeatable,4,9,11,"429,542,500,542,501,507,430,507"
11,repeatable,4,10,12,"551,541,610,541,612,513,553,513"
12,repeatable,4,11,,"612,540,677,541,678,513,613,512"
